match_id,Winner
19910422-M-Monte_Carlo_Masters-R64-Jordi_Arrese-Bjorn_Borg,1
19910428-M-Monte_Carlo_Masters-F-Sergi_Bruguera-Boris_Becker,1
19910512-M-Hamburg_Masters-F-Karel_Novacek-Magnus_Gustafsson,1
19910519-M-Rome_Masters-F-Emilio_Sanchez-Alberto_Mancini,1
19910527-M-Roland_Garros-R128-John_Mcenroe-Andrei_Cherkasov,2
19910528-M-Roland_Garros-R128-Pete_Sampras-Thomas_Muster,1
19910530-M-Roland_Garros-R64-Pete_Sampras-Thierry_Champion,2
19910602-M-Roland_Garros-R16-Andrei_Cherkasov-Stefan_Edberg,2
19910604-M-Roland_Garros-QF-Michael_Chang-Boris_Becker,2
19910605-M-Roland_Garros-QF-Jim_Courier-Stefan_Edberg,1
19910607-M-Roland_Garros-SF-Andre_Agassi-Boris_Becker,1
19910607-M-Roland_Garros-SF-Jim_Courier-Michael_Stich,1
19910609-M-Roland_Garros-F-Andre_Agassi-Jim_Courier,2
19910616-M-Queens_Club-F-Stefan_Edberg-David_Wheaton,1
19910624-M-Wimbledon-R128-Marc_Rosset-Stefan_Edberg,2
19910702-M-Wimbledon-R16-John_Mcenroe-Stefan_Edberg,2
19910702-M-Wimbledon-R16-Michael_Stich-Alexander_Volkov,1
19910704-M-Wimbledon-QF-Andre_Agassi-David_Wheaton,2
19910704-M-Wimbledon-QF-Jim_Courier-Michael_Stich,2
19910704-M-Wimbledon-QF-Stefan_Edberg-Thierry_Champion,1
19910706-M-Wimbledon-SF-David_Wheaton-Boris_Becker,2
19910706-M-Wimbledon-SF-Michael_Stich-Stefan_Edberg,1
19910707-M-Wimbledon-F-Boris_Becker-Michael_Stich,2
19910721-M-Washington-F-Andre_Agassi-Petr_Korda,1
19910727-M-Canada_Masters-SF-Ivan_Lendl-Andrei_Chesnokov,2
19910727-M-Canada_Masters-SF-Jim_Courier-Petr_Korda,2
19910728-M-Canada_Masters-F-Petr_Korda-Andrei_Chesnokov,2
19910810-M-Cincinnati_Masters-SF-Boris_Becker-Guy_Forget,2
19910811-M-Cincinnati_Masters-F-Pete_Sampras-Guy_Forget,2
19910816-M-New_Haven-QF-John_Mcenroe-Goran_Ivanisevic,2
